attribute,group,n,roc_auc,average_precision,false_positive_rate,false_negative_rate,predicted_default_rate,actual_default_rate,false_positives,false_negatives,true_positives,true_negatives,equalized_odds_gap,operating_threshold,threshold_policy,cost_minimizing_threshold,f1_optimal_threshold,no_gender_auc,auc_degradation_without_gender
ORGANIZATION_TYPE,Security Ministries,376,0.8912280701754386,0.4412489824608823,0.04155124653739612,0.4666666666666667,0.061170212765957445,0.0398936170212766,15,7,8,346,1.3571428571428572,0.66,f1_optimal_threshold,0.53,0.66,0.7736520139187906,0.0009786464856387234
ORGANIZATION_TYPE,Self-employed,7840,0.7660984582042851,0.29082690222804464,0.1641621774879501,0.4821882951653944,0.1996173469387755,0.10025510204081632,1158,379,407,5896,1.3571428571428572,0.66,f1_optimal_threshold,0.53,0.66,0.7736520139187906,0.0009786464856387234
ORGANIZATION_TYPE,Services,320,0.7286036036036037,0.19823428303509205,0.09121621621621621,0.5833333333333334,0.115625,0.075,27,14,10,269,1.3571428571428572,0.66,f1_optimal_threshold,0.53,0.66,0.7736520139187906,0.0009786464856387234
ORGANIZATION_TYPE,Telecom,125,0.8135593220338984,0.20782159017453136,0.0847457627118644,0.8571428571428571,0.088,0.056,10,6,1,108,1.3571428571428572,0.66,f1_optimal_threshold,0.53,0.66,0.7736520139187906,0.0009786464856387234
ORGANIZATION_TYPE,Trade: type 1,74,0.9464285714285714,0.41875,0.24285714285714285,0.0,0.28378378378378377,0.05405405405405406,17,0,4,53,1.3571428571428572,0.66,f1_optimal_threshold,0.53,0.66,0.7736520139187906,0.0009786464856387234
ORGANIZATION_TYPE,Trade: type 2,377,0.7634760206103846,0.28035477764710515,0.07183908045977011,0.6551724137931034,0.09283819628647215,0.07692307692307693,25,19,10,323,1.3571428571428572,0.66,f1_optimal_threshold,0.53,0.66,0.7736520139187906,0.0009786464856387234
ORGANIZATION_TYPE,Trade: type 3,692,0.734240950837385,0.2885301034714837,0.1458670988654781,0.5333333333333333,0.18063583815028902,0.10838150289017341,90,40,35,527,1.3571428571428572,0.66,f1_optimal_threshold,0.53,0.66,0.7736520139187906,0.0009786464856387234
ORGANIZATION_TYPE,Trade: type 4,12,,,0.08333333333333333,,0.08333333333333333,0.0,1,0,0,11,1.3571428571428572,0.66,f1_optimal_threshold,0.53,0.66,0.7736520139187906,0.0009786464856387234
ORGANIZATION_TYPE,Trade: type 5,9,0.8571428571428572,0.5833333333333333,0.14285714285714285,0.5,0.2222222222222222,0.2222222222222222,1,1,1,6,1.3571428571428572,0.66,f1_optimal_threshold,0.53,0.66,0.7736520139187906,0.0009786464856387234
ORGANIZATION_TYPE,Trade: type 6,139,0.9042735042735043,0.341610404845699,0.038461538461538464,0.7777777777777778,0.050359712230215826,0.06474820143884892,5,7,2,125,1.3571428571428572,0.66,f1_optimal_threshold,0.53,0.66,0.7736520139187906,0.0009786464856387234
ORGANIZATION_TYPE,Trade: type 7,1567,0.7808521312747893,0.3016058945520382,0.15091678420310295,0.4899328859060403,0.18506700701978301,0.09508615188257817,214,73,76,1204,1.3571428571428572,0.66,f1_optimal_threshold,0.53,0.66,0.7736520139187906,0.0009786464856387234
ORGANIZATION_TYPE,Transport: type 1,41,1.0,1.0,0.05,0.0,0.07317073170731707,0.024390243902439025,2,0,1,38,1.3571428571428572,0.66,f1_optimal_threshold,0.53,0.66,0.7736520139187906,0.0009786464856387234
ORGANIZATION_TYPE,Transport: type 2,435,0.7817729534147445,0.26674088659204304,0.13432835820895522,0.5454545454545454,0.15862068965517243,0.07586206896551724,54,18,15,348,1.3571428571428572,0.66,f1_optimal_threshold,0.53,0.66,0.7736520139187906,0.0009786464856387234
ORGANIZATION_TYPE,Transport: type 3,223,0.7478723404255319,0.37549227194312773,0.2978723404255319,0.3142857142857143,0.35874439461883406,0.15695067264573992,56,11,24,132,1.3571428571428572,0.66,f1_optimal_threshold,0.53,0.66,0.7736520139187906,0.0009786464856387234
ORGANIZATION_TYPE,Transport: type 4,1087,0.7655672501454006,0.2984467059840411,0.12985685071574643,0.5688073394495413,0.16007359705611776,0.10027598896044158,127,62,47,851,1.3571428571428572,0.66,f1_optimal_threshold,0.53,0.66,0.7736520139187906,0.0009786464856387234
ORGANIZATION_TYPE,University,273,0.7281368821292775,0.2810832078084749,0.045627376425855515,0.6,0.05860805860805861,0.03663003663003663,12,6,4,251,1.3571428571428572,0.66,f1_optimal_threshold,0.53,0.66,0.7736520139187906,0.0009786464856387234
ORGANIZATION_TYPE,XNA,11231,0.7474525826820008,0.18636272734330184,0.04146640278955801,0.7661290322580645,0.05208797079512065,0.05520434511619624,440,475,145,10171,1.3571428571428572,0.66,f1_optimal_threshold,0.53,0.66,0.7736520139187906,0.0009786464856387234
